Izglītības iestāde,Liepupes vidusskola,"Ezera iela 2, Liepupe, Liepupes pag., Salacgrīvas nov., LV-4023"
Izglītības iestāde,Pļaviņu novada ģimnāzija,"Daugavas iela 101, Pļaviņas, Pļaviņu nov., LV-5120"
Izglītības iestāde,Kokneses internātpamatskola - attīstības centrs,"Kokneses speciālā internātskola, Bormaņi, Kokneses pag., Kokneses nov., LV-5113"
Izglītības iestāde,Bebru pamatskola,"Bebru pamatskola, Vecbebri, Bebru pag., Kokneses nov., LV-5135"
Izglītības iestāde,"Privātā sākumskola ""Domdaris""","Dzirnavu iela 29, Rīga, LV-1010"
Izglītības iestāde,Rīgas 63. vidusskola,"Baltezera iela 6, Rīga, LV-1024"
Izglītības iestāde,Rīgas Raiņa 8. vakara (maiņu) vidusskola,"Krišjāņa Barona iela 71, Rīga, LV-1001"
Izglītības iestāde,Rīgas Teikas vidusskola,"Aizkraukles iela 14, Rīga, LV-1006"
Izglītības iestāde,Rīgas Kultūru vidusskola,"Ganību dambis 7, Rīga, LV-1045"
Izglītības iestāde,Rīgas Stila un Modes tehnikums,"Ūdeļu iela 22, Rīga, LV-1064"
Izglītības iestāde,Ziemeļvalstu ģimnāzija,"Paula Lejiņa iela 12, Rīga, LV-1029"
Izglītības iestāde,Daugavpils Valsts ģimnāzija,"Cietokšņa iela 33, Daugavpils, LV-5401"
Izglītības iestāde,Naujenes pamatskola,"Stacijas iela 8, Naujene, Naujenes pag., Daugavpils nov., LV-5462"
Izglītības iestāde,Krāslavas Varavīksnes vidusskola,"N. Rancāna iela 4, Krāslava, Krāslavas nov., LV-5601"
Izglītības iestāde,J. Raiņa Daugavpils 6. vidusskola,"Komunālā iela 2, Daugavpils, LV-5418"
Izglītības iestāde,Daugavpils Stropu pamatskola - attīstības centrs,"Abavas iela 1, Daugavpils, LV-5417"
Izglītības iestāde,Ilūkstes 1. vidusskola,"Raiņa iela 49A, Ilūkste, Ilūkstes nov., LV-5447"
Izglītības iestāde,Dagdas vidusskola,"Mičurina iela 3A, Dagda, Dagdas nov., LV-5674"
Izglītības iestāde,Daugavpils 3. vidusskola,"Raiņa iela 30, Daugavpils, LV-5401"
Izglītības iestāde,Daugavpils Vienības pamatskola,"Ģimnāzijas iela 32, Daugavpils, LV-5401"
Izglītības iestāde,Rēzeknes tehnikums,"Varoņu iela 11A, Rēzekne, LV-4604"
Izglītības iestāde,Daugavpils 4. speciālā pirmsskolas izglītības iestāde,"Mihoelsa iela 4, Daugavpils, LV-5401"
Izglītības iestāde,Daugavpils Būvniecības tehnikums,"Jātnieku iela 87, Daugavpils, LV-5410"
Izglītības iestāde,Robežnieku pamatskola,"Pils iela 2, Krāslava, Krāslavas nov., LV-5601"
Izglītības iestāde,Rīgas 6. vidusskola,"Aleksandra Čaka iela 102, Rīga, LV-1011"
Izglītības iestāde,Rīgas 84. vidusskola,"Lielvārdes iela 141, Rīga, LV-1082"
Izglītības iestāde,Ogres sākumskola,"Meža prospekts 14, Ogre, Ogres nov., LV-5001"
Izglītības iestāde,Rīgas 1. speciālā internātpamatskola,"Ģertrūdes iela 18, Rīga, LV-1011"
Izglītības iestāde,Jelgavas 4. vidusskola,"Akmeņu iela 1, Jelgava, LV-3004"
Izglītības iestāde,Lielupes pamatskola,"Aizputes iela 1A, Jūrmala, LV-2010"
Izglītības iestāde,Kārsavas vidusskola,"Vienības iela 101, Kārsava, Kārsavas nov., LV-5717"
Izglītības iestāde,Rīgas Angļu ģimnāzija,"Zvārdes iela 1, Rīga, LV-1004"
Izglītības iestāde,Rīgas 3. speciālā pamatskola,"Telts iela 2A, Rīga, LV-1004"
Izglītības iestāde,Salaspils 1. vidusskola,"Lauku iela 1, Salaspils, Salaspils nov., LV-2121"
Izglītības iestāde,Rīgas Mākslas un mediju tehnikums,"Jūrmalas gatve 96, Rīga, LV-1029"
Izglītības iestāde,Jēkabpils 3. vidusskola,"Slimnīcas iela 5, Jēkabpils, LV-5202"
Izglītības iestāde,Jūrmalas Valsts ģimnāzija / Mežmalas vidusskola,"Raiņa iela 55, Jūrmala, LV-2011"
Izglītības iestāde,Zantes pamatskola,"Skolas iela 14, Zante, Zantes pag., Kandavas nov., LV-3134"
Izglītības iestāde,Rīgas 10. vidusskola,"Lenču iela 1, Rīga, LV-1010"
Izglītības iestāde,Rīgas Tehniskā koledža,"Braslas iela 16, Rīga, LV-1084"
Izglītības iestāde,Mārupes vidusskola,"Kantora iela 97, Mārupe, Mārupes nov., LV-2167"
Izglītības iestāde,Rīgas Igauņu pamatskola,"Atgāzenes iela 26, Rīga, LV-1004"
Izglītības iestāde,Aizputes vidusskola,"Ziedu iela 7, Aizpute, Aizputes nov., LV-3456"
Izglītības iestāde,Rīgas Purvciema vidusskola,"Detlava Brantkalna iela 5, Rīga, LV-1082"
Izglītības iestāde,Īslīces vidusskola,"Skolas iela 1, Bērzi, Īslīces pag., Bauskas nov., LV-3914"
Izglītības iestāde,Engures vidusskola,"Skolas iela 7, Engure, Engures pag., Engures nov., LV-3113"
Izglītības iestāde,"Privātā vidusskola ""Patnis""","Gregora iela 13A, Rīga, LV-1046"
Izglītības iestāde,Ludzas pilsētas ģimnāzija,"Blaumaņa iela 4, Ludza, Ludzas nov., LV-5701"
Izglītības iestāde,Jūrmalas vakara vidusskola,"Lielupes iela 21, Jūrmala, LV-2015"
Izglītības iestāde,Iecavas internātpamatskola,"Skolas iela 19, Iecava, Iecavas nov., LV-3913"
Izglītības iestāde,Majoru vidusskola,"Rīgas iela 3, Jūrmala, LV-2015"
Izglītības iestāde,Rīgas Sanatorijas internātpamatskola,"Brīvības gatve 384A, Rīga, LV-1006"
Izglītības iestāde,Rīgas 49. vidusskola,"Krišjāņa Valdemāra iela 65, Rīga, LV-1010"
Izglītības iestāde,Carnikavas pamatskola,"Nākotnes iela 1, Carnikava, Carnikavas nov., LV-2163"
Izglītības iestāde,Rīgas 46. vidusskola,"Skuju iela 28, Rīga, LV-1015"
Izglītības iestāde,Zaķumuižas pamatskola,"Skolas iela 3, Zaķumuiža, Ropažu nov., LV-2133"
Izglītības iestāde,Š. Dubnova Rīgas Ebreju vidusskola,"Miera iela 62, Rīga, LV-1013"
Izglītības iestāde,Mērsraga vidusskola,"Skolas iela 8, Mērsrags, Mērsraga nov., LV-3284"
Izglītības iestāde,Jāņa Eglīša Preiļu Valsts ģimnāzija,"Kooperatīvā iela 6, Preiļi, Preiļu nov., LV-5301"
Izglītības iestāde,Priekuļu tehnikums,"Egļu gatve 9, Priekuļi, Priekuļu pag., Priekuļu nov., LV-4126"
Izglītības iestāde,Vaivaru pamatskola,"Skautu iela 2, Jūrmala, LV-2008"
Izglītības iestāde,Daugavpils Centra vidusskola,"Kandavas iela 17, Daugavpils, LV-5401"
Izglītības iestāde,Lāču pamatskola,"Muzeja iela 2, Lociki, Naujenes pag., Daugavpils nov., LV-5458"
Izglītības iestāde,Daugavpils 11. pamatskola,"Arhitektu iela 10, Daugavpils, LV-5410"
Izglītības iestāde,Daugavpils pilsētas 24. pirmsskolas izglītības iestāde,"Muzeja iela 9, Daugavpils, LV-5401"
Izglītības iestāde,Daugavpils 13. vidusskola,"Valkas iela 4A, Daugavpils, LV-5417"
Izglītības iestāde,Rīgas 45. vidusskola,"Ropažu iela 34, Rīga, LV-1039"
Izglītības iestāde,Rīgas Valsts vācu ģimnāzija,"Āgenskalna iela 21, Rīga, LV-1048"
Izglītības iestāde,Ilūkstes Raiņa vidusskola,"Raiņa iela 49, Ilūkste, Ilūkstes nov., LV-5447"
Izglītības iestāde,Rīgas Valsts tehnikums,"Krišjāņa Valdemāra iela 1C, Rīga, LV-1010"
Izglītības iestāde,Kauguru vidusskola,"Raiņa iela 118, Jūrmala, LV-2016"
Izglītības iestāde,Daugavpils 9. vidusskola,"18. novembra iela 47, Daugavpils, LV-5401"
Izglītības iestāde,Rīgas Mūzikas internātvidusskola,"Kalnciema iela 160, Rīga, LV-1046"
Izglītības iestāde,Zvejniekciema vidusskola,"Atpūtas iela 1, Zvejniekciems, Saulkrastu pag., Saulkrastu nov., LV-2161"
Izglītības iestāde,Rīgas 9. vakara (maiņu) vidusskola,"Stāmerienas iela 8, Rīga, LV-1006"
Izglītības iestāde,Rīgas Centra daiļamatniecības pamatskola,"Aspazijas bulvāris 34, Rīga, LV-1050"
Izglītības iestāde,Kandavas Lauksaimniecības tehnikums,"Valteru iela 6, Kandava, Kandavas nov., LV-3120"
Izglītības iestāde,Rīgas 14. vakara (maiņu) vidusskola,"Margrietas iela 4, Rīga, LV-1046"
Izglītības iestāde,Rīgas 33. vidusskola,"Stūrmaņu iela 23, Rīga, LV-1016"
Izglītības iestāde,"Limbažu pilsētas 3. pirmsskolas izglītības iestāde  ""Spārīte""","Dārza iela 24, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Limbažu sākumskola,"Rīgas iela 28, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Umurgas pamatskola,"Skolas iela 8A, Umurga, Umurgas pag., Limbažu nov., LV-4004"
Izglītības iestāde,Limbažu un Salacgrīvas novadu sporta skola,"Parka iela 36, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Ozolaines pirmsskolas izglītības iestāde,"Zariņš, Bekši, Ozolaines pag., Rēzeknes nov., LV-4633"
Izglītības iestāde,Limbažu novada ģimnāzija,"Rīgas iela 28, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Limbažu 3. vidusskola,"Parka iela 38, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Limbažu Bērnu un jauniešu centrs,"Rīgas iela 19, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Jelgavas Amatu vidusskola,"Akadēmijas iela 25, Jelgava, LV-3001"
Izglītības iestāde,Ķeipenes pamatskola,"Ziedu iela 3, Ķeipene, Ķeipenes pag., Ogres nov., LV-5062"
Izglītības iestāde,Annas Brigaderes pamatskola,"Annas Brigaderes skola, Kroņauce, Tērvetes pag., Tērvetes nov., LV-3730"
Izglītības iestāde,Kalnciema vidusskola,"Kalnciema vidusskola, Valgundes pag., Jelgavas nov., LV-3017"
Izglītības iestāde,Rīgas 80. vidusskola,"Andromedas gatve 11, Rīga, LV-1084"
Izglītības iestāde,Rīgas Hanzas vidusskola,"Grostonas iela 5, Rīga, LV-1013"
Izglītības iestāde,Rīgas 95. vidusskola,"Bruknas iela 5, Rīga, LV-1058"
Izglītības iestāde,Rīgas 40.vidusskola,"Tērbatas iela 15/17, Rīga, LV-1011"
Izglītības iestāde,Privātā vidusskola INNOVA,"Krišjāņa Barona iela 130, Rīga, LV-1012"
Izglītības iestāde,Ogresgala pamatskola,"Nākotnes iela 4, Ogresgals, Ogresgala pag., Ogres nov., LV-5041"
Izglītības iestāde,Rīgas Natālijas Draudziņas vidusskola,"Bruņinieku iela 24A, Rīga, LV-1001"
Izglītības iestāde,Rīgas 41. vidusskola,"Slokas iela 49A, Rīga, LV-1007"
Izglītības iestāde,Bērzpils vidusskola,"Dārza iela 12, Bērzpils, Bērzpils pag., Balvu nov., LV-4576"
Izglītības iestāde,Rīgas 21. vidusskola,"Tomsona iela 35, Rīga, LV-1013"
Izglītības iestāde,Āgenskalna sākumskola,"Kandavas iela 4 k-1, Rīga, LV-1083"
Izglītības iestāde,"Mācību centrs ""Lenoks""","Ģimnāzijas iela 5, Daugavpils, LV-5401"
Izglītības iestāde,"Profesionālās izglītības kompetences centrs  ""Daugavpils tehnikums""","Strādnieku iela 16, Daugavpils, LV-5404"
Izglītības iestāde,Ilūkstes novada Bērnu un jauniešu centrs,"Raiņa iela 33A, Ilūkste, Ilūkstes nov., LV-5447"
Izglītības iestāde,Mācību centrs LatInSoft,"Ģimnāzijas iela 7/9, Daugavpils, LV-5401"
Izglītības iestāde,Preiļu 2. vidusskola,"Andreja Paulāna iela 2, Preiļi, Preiļu nov., LV-5301"
Izglītības iestāde,Rudzātu vidusskola,"Miera iela 13, Rudzāti, Rudzātu pag., Līvānu nov., LV-5328"
Izglītības iestāde,Priežmalas pamatskola,"Skolas iela 6, Priežmale, Kastuļinas pag., Aglonas nov., LV-5685"
Izglītības iestāde,Jēkabpils Tālākizglītības un informācijas tehnoloģiju centrs,"Jaunā iela 44, Jēkabpils, LV-5201"
Izglītības iestāde,Jēkabpils Agrobiznesa koledža,"Pasta iela 1, Jēkabpils, LV-5201"
Izglītības iestāde,Variešu sākumskola,"Variešu sākumskola, Varieši, Variešu pag., Krustpils nov., LV-5236"
Izglītības iestāde,Brāļu Skrindu Atašienes vidusskola,"Marinzeja, Atašienes pag., Krustpils nov., LV-5211"
Izglītības iestāde,Lādezera pamatskola,"Skolas iela 1, Lādezers, Limbažu pag., Limbažu nov., LV-4011"
Izglītības iestāde,Murjāņu Sporta Ģimnāzija,"Klintslejas 4, Murjāņi, Sējas nov., LV-2142"
Izglītības iestāde,Stelpes pamatskola,"Stelpes pamatskola, Stelpes pag., Vecumnieku nov., LV-3925"
Izglītības iestāde,Rīgas Tirdzniecības profesionālā vidusskola,"Tomsona iela 3/5, Rīga, LV-1013"
Izglītības iestāde,Salas sākumslola,"Pīlādzīši, Spuņciems, Salas pag., Babītes nov., LV-2105"
Izglītības iestāde,Rīgas Ķengaraga vidusskola,"Maskavas iela 273, Rīga, LV-1063"
Izglītības iestāde,Nautrēnu vidusskola,"Vidusskola, Rogovka, Nautrēnu pag., Rēzeknes nov., LV-4652"
Izglītības iestāde,"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""","Apuzes iela 74, Rīga, LV-1029"
Izglītības iestāde,Vestienas pamatskola,"Vestienas muiža, Vestiena, Vestienas pag., Madonas nov., LV-4855"
Izglītības iestāde,Madlienas vidusskola,"Skola, Madliena, Madlienas pag., Ogres nov., LV-5045"
Izglītības iestāde,"Limbažu pilsētas 1. pirmsskolas izglītības iestāde  ""Buratīno""","Parka iela 5, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Pāles pamatskola,"Skolotāju iela 4, Pāle, Pāles pag., Limbažu nov., LV-4052"
Izglītības iestāde,Daudzeses pamatskola,"Skola, Daudzese, Daudzeses pag., Jaunjelgavas nov., LV-5111"
Izglītības iestāde,Vīpes pamatskola,"Vīpes skola, Vīpes pag., Krustpils nov., LV-5238"
Izglītības iestāde,A. Eglīša Ļaudonas vidusskola,"Dzirnavu iela 2, Ļaudona, Ļaudonas pag., Madonas nov., LV-4862"
Izglītības iestāde,Alojas Ausekļa vidusskola,"Ausekļa iela 1, Aloja, Alojas nov., LV-4064"
Izglītības iestāde,Bērzaunes pamatskola,"Ozolu iela 2, Bērzaune, Bērzaunes pag., Madonas nov., LV-4853"
Izglītības iestāde,Burtnieku novada Rencēnu pamatskola,"Parka iela 1, Rencēni, Rencēnu pag., Burtnieku nov., LV-4232"
Izglītības iestāde,Cēsu novada pašvaldības Līvu sākumskola,"Krīvi, Krīvi, Vaives pag., Cēsu nov., LV-4136"
Izglītības iestāde,Cēsu pilsētas vidusskola,"Leona Paegles iela 1, Cēsis, Cēsu nov., LV-4101"
Izglītības iestāde,Cesvaines vidusskola,"Madonas iela 1, Cesvaine, Cesvaines nov., LV-4871"
Izglītības iestāde,Degumnieku pamatskola,"Skolas iela 13, Degumnieki, Ošupes pag., Madonas nov., LV-4833"
Izglītības iestāde,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,"Pūces iela 2, Cēsis, Cēsu nov., LV-4101"
Izglītības iestāde,Gulbenes 2. vidusskola,"Līkā iela 21, Gulbene, Gulbenes nov., LV-4401"
Izglītības iestāde,Gulbenes novada valsts ģimnāzija,"Skolas iela 10, Gulbene, Gulbenes nov., LV-4401"
Izglītības iestāde,Gulbenes sākumskola,"Skolas iela 12, Gulbene, Gulbenes nov., LV-4401"
Izglītības iestāde,Kristiāna Dāvida pamatskola,"Kalna Skola, Barkavas pag., Madonas nov., LV-4834"
Izglītības iestāde,Kuldīgas Tehnoloģiju un tūrisma tehnikums,"Liepājas iela 31, Kuldīga, Kuldīgas nov., LV-3301"
Izglītības iestāde,Liezēres pamatskola,"Jaunatnes iela 6, Ozoli, Liezēres pag., Madonas nov., LV-4884"
Izglītības iestāde,Madonas pilsētas vidusskola,"Valdemāra bulvāris 6, Madona, Madonas nov., LV-4801"
Izglītības iestāde,Madonas Valsts ģimnāzija,"Valdemāra bulvāris 2A, Madona, Madonas nov., LV-4801"
Izglītības iestāde,Matīšu pamatskola,"Skolas iela 22, Matīši, Matīšu pag., Burtnieku nov., LV-4210"
Izglītības iestāde,Murmastienes pamatskola,"Rēzeknes iela 1, Murmastiene, Murmastienes pag., Varakļānu nov., LV-4835"
Izglītības iestāde,Ozolmuižas pamatskola,"Ozolmuižas pils, Ozolmuiža, Brīvzemnieku pag., Alojas nov., LV-4063"
Izglītības iestāde,"Priekuļu pirmsskolas izglītības iestāde ""Mežmaliņa""","Elites iela 1, Priekuļi, Priekuļu pag., Priekuļu nov., LV-4126"
Izglītības iestāde,Rīgas 1. vidusskola,"Akadēmijas laukums 1, Rīga, LV-1050"
Izglītības iestāde,Rīgas Tūrisma un radošās industrijas tehnikums,"Nīcgales iela 26, Rīga, LV-1035"
Izglītības iestāde,Rugāju novada vidusskola,"Kurmenes iela 87, Rugāji, Rugāju pag., Rugāju nov., LV-4570"
Izglītības iestāde,Rūjienas vidusskola,"Rīgas iela 30, Rūjiena, Rūjienas nov., LV-4240"
Izglītības iestāde,Stāķu pamatskola,"Stāķi 7, Stāķi, Stradu pag., Gulbenes nov., LV-4417"
Izglītības iestāde,Valmieras Gaujas krasta vidusskola - attīstības centrs,"Leona Paegles iela 5/7, Valmiera, LV-4201"
Izglītības iestāde,Valmieras Pārgaujas ģimnāzija,"Zvaigžņu iela 4, Valmiera, LV-4201"
Izglītības iestāde,Valmieras Valsts ģimnāzija,"Leona Paegles iela 40, Valmiera, LV-4201"
Izglītības iestāde,Valmieras Viestura vidusskola,"Viestura aleja 3, Valmiera, LV-4201"
Izglītības iestāde,Variņu pamatskola,"Oktobra iela 3, Variņi, Variņu pag., Smiltenes nov., LV-4726"
Izglītības iestāde,Dricānu vidusskola,"Dricānu vidusskola, Dricāni, Dricānu pag., Rēzeknes nov., LV-4615"
Izglītības iestāde,Lizuma vidusskola,"Pils, Lizums, Lizuma pag., Gulbenes nov., LV-4425"
Izglītības iestāde,Mazsalacas vidusskola,"Parka 30, Mazsalacas pag., Mazsalacas nov., LV-4215"
Izglītības iestāde,Rāmuļu pamatskola,"Rāmuļu Skola, Rāmuļi, Vaives pag., Cēsu nov., LV-4136"
Izglītības iestāde,Rankas pamatskola,"Rankas pamatskola, Rankas pag., Gulbenes nov., LV-4416"
Izglītības iestāde,Stalbes vidusskola,"Stalbes vidusskola, Stalbe, Stalbes pag., Pārgaujas nov., LV-4151"
Izglītības iestāde,Tirzas pamatskola,"Tirzas pamatskola, Tirza, Tirzas pag., Gulbenes nov., LV-4424"
Valsts iestāde,Pilsonības un migrācijas lietu pārvalde Ogres nodaļa,"Brīvības iela 44, Ogre, Ogres nov., LV-5001"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Jelgavas nodaļa,"Uzvaras iela 8, Jelgava, LV-3001"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Rīgas 1. nodaļa,"Čiekurkalna 1. līnija 1, Rīga, LV-1026"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Rīgas 2. nodaļa,"Krišjāņa Valdemāra iela 26, Rīga, LV-1010"
Valsts iestāde,Pilsonības un migrācijas lietu pārvaldes Rīgas 3. nodaļa,"Eduarda Smiļģa iela 46, Rīga, LV-1002"
